,word,score
21794,greatest,3.0
21795,greed,-3.0
21796,greedy,-2.0
21797,green wash,-3.0
21798,green washing,-3.0
21799,greenwash,-3.0
21800,greenwasher,-3.0
21801,greenwashers,-3.0
21802,greenwashing,-3.0
21803,greet,1.0
21804,greeted,1.0
21805,greeting,1.0
21806,greetings,2.0
21807,greets,1.0
21808,grey,-1.0
21809,grief,-2.0
21810,grieved,-2.0
21811,gross,-2.0
21812,growing,1.0
21813,growth,2.0
21814,guarantee,1.0
21815,guilt,-3.0
21816,guilty,-3.0
21817,gullibility,-2.0
21818,gullible,-2.0
21819,gun,-1.0
21820,ha,2.0
21821,hacked,-1.0
21822,haha,3.0
21823,hahaha,3.0
21824,hahahah,3.0
21825,hail,2.0
21826,hailed,2.0
21827,hapless,-2.0
21828,haplessness,-2.0
21829,happiness,3.0
21830,happy,3.0
21831,hard,-1.0
21832,hardier,2.0
21833,hardship,-2.0
21834,hardy,2.0
21835,harm,-2.0
21836,harmed,-2.0
21837,harmful,-2.0
21838,harming,-2.0
21839,harms,-2.0
21840,harried,-2.0
21841,harsh,-2.0
21842,harsher,-2.0
21843,harshest,-2.0
21844,hate,-3.0
21845,hated,-3.0
21846,haters,-3.0
21847,hates,-3.0
21848,hating,-3.0
21849,haunt,-1.0
21850,haunted,-2.0
21851,haunting,1.0
21852,haunts,-1.0
21853,havoc,-2.0
21854,healthy,2.0
21855,heartbreaking,-3.0
21856,heartbroken,-3.0
21857,heartfelt,3.0
21858,heaven,2.0
21859,heavenly,4.0
21860,heavyhearted,-2.0
21861,hell,-4.0
21862,help,2.0
21863,helpful,2.0
21864,helping,2.0
21865,helpless,-2.0
21866,helps,2.0
21867,hero,2.0
21868,heroes,2.0
21869,heroic,3.0
21870,hesitant,-2.0
21871,hesitate,-2.0
21872,hid,-1.0
21873,hide,-1.0
21874,hides,-1.0
21875,hiding,-1.0
21876,highlight,2.0
21877,hilarious,2.0
21878,hindrance,-2.0
21879,hoax,-2.0
21880,homesick,-2.0
21881,honest,2.0
21882,honor,2.0
21883,honored,2.0
21884,honoring,2.0
21885,honour,2.0
21886,honoured,2.0
21887,honouring,2.0
